Nome	Texto	Foto
Paula Oliveira	Esse foi o melhor aplicativo de treino e dieta que já baixei, estou super satisfeita. A interação com meu personal e a nutricionista é ótima. Aplicativo perfeito! Não vivo mais sem ele, os profissionais são super atenciosos e consegui resultados, os quais não havia conseguido anteriormente. Muito amor pelo Personal Virtual!!!	C:/1.projetos/crawler-playstore-rating/imgs/Paula Oliveira.jpg
renata santos	adoro esses App foi uma boa escolha tenho o plano anual,não gostava das séries dos professores da academia,por isso assinei e não me arrependi recente me afastei da academia e o professor me mandou msg para saber Pq não estava treinando mais,e trocou meu treino para fazer em casa o treino é ótimo ele tira minhas dúvidas.só tenho a agradecer.	C:/1.projetos/crawler-playstore-rating/imgs/renata santos.jpg
Patricia Sardinha	Melhor aplicativo da vida. Nunca costumo comentar e qualificar, mas esse app merece. Profissionais atenciosos, respondem super rápido e adéquam o treino e a dieta segundo as nossas necessidades e nao generalizado como em algumas academias. Se tivesse mil estrelas eu daria com toda certeza	C:/1.projetos/crawler-playstore-rating/imgs/Patricia Sardinha.jpg
Paula Oliveira	Esse foi o melhor aplicativo de treino e dieta que já baixei, estou super satisfeita. A interação com meu personal e a nutricionista é ótima. Aplicativo perfeito! Não vivo mais sem ele, os profissionais são super atenciosos e consegui resultados, os quais não havia conseguido anteriormente. Muito amor pelo Personal Virtual!!!	C:/1.projetos/crawler-playstore-rating/imgs/Paula Oliveira.jpg
renata santos	adoro esses App foi uma boa escolha tenho o plano anual,não gostava das séries dos professores da academia,por isso assinei e não me arrependi recente me afastei da academia e o professor me mandou msg para saber Pq não estava treinando mais,e trocou meu treino para fazer em casa o treino é ótimo ele tira minhas dúvidas.só tenho a agradecer.	C:/1.projetos/crawler-playstore-rating/imgs/renata santos.jpg
Patricia Sardinha	Melhor aplicativo da vida. Nunca costumo comentar e qualificar, mas esse app merece. Profissionais atenciosos, respondem super rápido e adéquam o treino e a dieta segundo as nossas necessidades e nao generalizado como em algumas academias. Se tivesse mil estrelas eu daria com toda certeza	C:/1.projetos/crawler-playstore-rating/imgs/Patricia Sardinha.jpg
Izabel B.	Tem sido maravilhoso. O app motiva muito, o personal é muito bom e além disso tem a nutricionista indicando os alimentos. Eu estava sem foco e treinando sem disciplina, mas agora consigo ir a semana toda. Amei. 5 estrelas é pouco. Parabéns aos desenvolvedores.	C:/1.projetos/crawler-playstore-rating/imgs/Izabel B..jpg
Leo Fauth	por enquanto estou muito satisfeito com o atendimento do personal e nutricionista. creio que o app deveria ter algumas melhorias no desenvolvimento dos exercícios. exemplo: disponibilidade de audio com Contagem de tempo	C:/1.projetos/crawler-playstore-rating/imgs/Leo Fauth.jpg
Gabriela Torino	O app é ótimo. Meu esposo usa e gosta muito! Eu adquiri há alguns dias porém não darei continuidade pois estou com personal presencial. Enviei e-mail solicitando o cancelamento mas não obtive retorno. Como devo proceder? Obrigada!	C:/1.projetos/crawler-playstore-rating/imgs/Gabriela Torino.jpg
Um usuário do Google	O app é sensacional: oferece treino personalizado e acompanhamento nutricional. Meu personal acompanha minha frequência de treinos, adequa-os para as minhas necessidades, troca sempre que necessário. A dieta da nutri é de acordo com minha rotina e meus hábitos. Ambos sempre solícitos, respondem dúvidas e estão a um clique de distância. O app oferece interface amigável e tudo que eu preciso para que meu treino seja bem executado. Uso há um ano e vou continuar usando. 	C:/1.projetos/crawler-playstore-rating/imgs/Um usuário do Google.jpg
